Virus Name	Record ID	UniProt ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
human_papillomavirus_201	AKP16345.1_4729	A0A0H4LNY2	36.3	60.6	ColabFold	human_papillomavirus_201_CF-AKP16345.1_4729_relaxed.pdb	517	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 27	
human_papillomavirus_201	AKP16342.1_4729	A0A0H4LMI6	77.2	74.7	ESMFold	human_papillomavirus_201_EF-AKP16342.1_4729_relaxed.pdb	608	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 27	
keystone_virus	APA29004.1_9574	A0A0M4JCT4	63.6	83.8	ColabFold	keystone_virus_CF-APA29004.1_9574_relaxed.pdb	92	ssRNA(-)	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus keystoneense	
keystone_virus	APA29001.1.1.1_9574	A0A1I9WAK2	72.0	96.4	ColabFold	keystone_virus_CF-APA29001.1.1.1_9574_relaxed.pdb	182	ssRNA(-)	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus keystoneense	
keystone_virus	APA29003.1_9574	Q82984	34.8	89.8	ColabFold	keystone_virus_CF-APA29003.1_9574_relaxed.pdb	235	ssRNA(-)	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus keystoneense	
keystone_virus	APA29001.1.1.2_9574	A0A1I9WAK2	56.9	85.3	ColabFold	keystone_virus_CF-APA29001.1.1.2_9574_relaxed.pdb	758	ssRNA(-)	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus keystoneense	
keystone_virus	APA29002.1_9574	A0A1I9WAK3	44.8	79.4	ColabFold	keystone_virus_CF-APA29002.1_9574_relaxed.pdb	1443	ssRNA(-)	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Orthobunyavirus keystoneense	
torque_teno_mini_virus_ala22	AIK19235.1_12582	A0A076V7U4	36.3	76.7	ColabFold	torque_teno_mini_virus_ala22_CF-AIK19235.1_12582_relaxed.pdb	101	ssDNA(-)					Anelloviridae	Betatorquevirus	Betatorquevirus homini27	
torque_teno_mini_virus_ala22	AIK19237.1_12582	A0A076V2K4	52.8	68.7	ColabFold	torque_teno_mini_virus_ala22_CF-AIK19237.1_12582_relaxed.pdb	134	ssDNA(-)					Anelloviridae	Betatorquevirus	Betatorquevirus homini27	
torque_teno_mini_virus_ala22	AIK19236.1_12582	A0A076V365	58.3	83.4	ColabFold	torque_teno_mini_virus_ala22_CF-AIK19236.1_12582_relaxed.pdb	674	ssDNA(-)					Anelloviridae	Betatorquevirus	Betatorquevirus homini27	
torque_teno_midi_virus_10	BAF76108.1_12612	A7VLY7	36.2	80.5	ColabFold	torque_teno_midi_virus_10_CF-BAF76108.1_12612_relaxed.pdb	120	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi10	
torque_teno_midi_virus_10	BAF76106.1_12612	A7VLY5	43.4	71.6	ColabFold	torque_teno_midi_virus_10_CF-BAF76106.1_12612_relaxed.pdb	256	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi10	
torque_teno_midi_virus_10	BAF76107.1_12612	A7VLY6	46.9	64.6	ColabFold	torque_teno_midi_virus_10_CF-BAF76107.1_12612_relaxed.pdb	258	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi10	
torque_teno_midi_virus_10	BAF76109.1_12612	A7VLY8	58.0	83.9	ColabFold	torque_teno_midi_virus_10_CF-BAF76109.1_12612_relaxed.pdb	663	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi10	
human_coronavirus_229e	AFR79256.1.1.8_10160	J9V878	77.5	81.5	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.8_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.13_10160	J9V878	83.3	90.7	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.13_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.12_10159	P0C6U2	79.6	91.9	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.12_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.8_10159	P0C6U2	77.5	81.5	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.8_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.8_10159	P0C6X1	77.5	81.5	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.8_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.12_10159	P0C6X1	79.6	91.9	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.12_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.13_10159	P0C6X1	83.3	90.7	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.13_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.12_10160	J9UWL3	79.2	90.6	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.12_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.13_10160	J9UWL3	83.3	90.7	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.13_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.8_10160	J9UWL3	77.5	81.5	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.8_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.13_10159	P0C6U2	83.3	90.7	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.13_10159_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.12_10160	J9V878	79.2	90.6	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.12_10160_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.11_10160	J9V878	72.1	90.1	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.11_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.9_10159	P0C6U2	71.4	82.7	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.9_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.14_10160	J9V878	74.4	90.7	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.14_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.14_10159	P0C6X1	74.4	90.7	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.14_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.11_10159	P0C6U2	72.1	90.1	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.11_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.11_10160	J9UWL3	72.1	90.1	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.11_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.9_10160	J9UWL3	71.3	85.9	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.9_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.14_10159	P0C6U2	74.4	90.7	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.14_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.9_10160	J9V878	71.3	85.9	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.9_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.14_10160	J9UWL3	74.4	90.7	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.14_10160_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.9_10159	P0C6X1	71.4	82.7	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.9_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.11_10159	P0C6X1	72.1	90.1	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.11_10159_relaxed.pdb	23	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.24_10160	J9UWL3	71.0	92.3	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.24_10160_relaxed.pdb	48	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.24_10159	P0C6X1	71.0	92.3	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.24_10159_relaxed.pdb	48	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.28_10159	P0C6X1	45.5	93.0	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.28_10159_relaxed.pdb	61	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.28_10160	J9UWL3	45.5	93.0	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.28_10160_relaxed.pdb	61	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48595.1_10159	P19741	62.4	86.6	ColabFold	human_coronavirus_229e_CF-AAG48595.1_10159_relaxed.pdb	77	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79259.1_10160	A0A384L4F1	62.6	86.2	ColabFold	human_coronavirus_229e_CF-AFR79259.1_10160_relaxed.pdb	77	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.25_10159	P0C6X1	72.2	93.7	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.25_10159_relaxed.pdb	80	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.25_10160	J9UWL3	72.2	93.7	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.25_10160_relaxed.pdb	80	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.18_10159	P0C6U2	70.9	76.9	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.18_10159_relaxed.pdb	83	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.18_10160	J9UWL3	70.9	76.9	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.18_10160_relaxed.pdb	83	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.18_10160	J9V878	70.9	76.9	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.18_10160_relaxed.pdb	83	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.18_10159	P0C6X1	70.9	76.9	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.18_10159_relaxed.pdb	83	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48594.1_10159	P19740	35.2	83.2	ColabFold	human_coronavirus_229e_CF-AAG48594.1_10159_relaxed.pdb	88	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.15_10159	P0C6X1	43.4	85.2	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.15_10159_relaxed.pdb	92	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.15_10160	J9V878	43.3	85.9	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.15_10160_relaxed.pdb	92	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.15_10160	J9UWL3	43.3	85.9	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.15_10160_relaxed.pdb	92	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.15_10159	P0C6U2	43.4	85.2	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.15_10159_relaxed.pdb	92	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.23_10160	J9UWL3	72.4	92.0	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.23_10160_relaxed.pdb	95	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.23_10159	P0C6X1	71.7	92.5	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.23_10159_relaxed.pdb	95	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.1_10160	J9UWL3	32.6	88.2	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.1_10160_relaxed.pdb	108	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.1_10160	J9V878	32.6	88.2	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.1_10160_relaxed.pdb	108	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.1_10159	P0C6X1	29.7	88.2	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.1_10159_relaxed.pdb	108	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.1_10159	P0C6U2	29.7	88.2	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.1_10159_relaxed.pdb	108	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.20_10160	J9UWL3	34.2	87.6	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.20_10160_relaxed.pdb	109	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.20_10159	P0C6U2	35.6	87.8	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.20_10159_relaxed.pdb	109	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.20_10160	J9V878	34.2	87.6	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.20_10160_relaxed.pdb	109	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.20_10159	P0C6X1	35.3	87.8	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.20_10159_relaxed.pdb	109	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.5_10159	P0C6X1	86.1	97.5	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.5_10159_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.5_10160	J9V878	85.1	97.4	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.5_10160_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.5_10159	P0C6U2	86.1	97.5	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.5_10159_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.5_10160	J9UWL3	85.1	97.4	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.5_10160_relaxed.pdb	125	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.21_10159	P0C6U2	32.6	94.1	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.21_10159_relaxed.pdb	130	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.21_10159	P0C6X1	32.6	94.1	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.21_10159_relaxed.pdb	130	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.21_10160	J9V878	32.7	93.7	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.21_10160_relaxed.pdb	130	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.21_10160	J9UWL3	32.7	93.7	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.21_10160_relaxed.pdb	130	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.29_10160	J9UWL3	33.1	92.3	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.29_10160_relaxed.pdb	133	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48593.1_10159	P19739	47.0	69.1	ColabFold	human_coronavirus_229e_CF-AAG48593.1_10159_relaxed.pdb	133	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.29_10159	P0C6X1	33.7	92.4	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.29_10159_relaxed.pdb	133	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.30_10159	P0C6X1	69.7	93.6	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.30_10159_relaxed.pdb	152	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.30_10160	J9UWL3	71.5	94.0	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.30_10160_relaxed.pdb	152	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.3_10159	P0C6U2	32.4	86.6	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.3_10159_relaxed.pdb	160	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.3_10160	J9UWL3	32.0	87.0	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.3_10160_relaxed.pdb	160	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.3_10159	P0C6X1	32.4	86.6	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.3_10159_relaxed.pdb	160	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.3_10160	J9V878	32.0	87.0	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.3_10160_relaxed.pdb	160	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.4_10159	P0C6U2	64.3	92.8	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.4_10159_relaxed.pdb	178	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.4_10159	P0C6X1	64.3	92.8	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.4_10159_relaxed.pdb	178	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79256.1.1.4_10160	J9V878	68.8	93.9	ColabFold	human_coronavirus_229e_CF-AFR79256.1.1.4_10160_relaxed.pdb	185	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.4_10160	J9UWL3	68.8	93.9	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.4_10160_relaxed.pdb	185	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48591.1.1.19_10159	P0C6X1	53.4	88.2	ColabFold	human_coronavirus_229e_CF-AAG48591.1.1.19_10159_relaxed.pdb	195	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AAG48590.1.1.19_10159	P0C6U2	53.4	88.2	ColabFold	human_coronavirus_229e_CF-AAG48590.1.1.19_10159_relaxed.pdb	195	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
human_coronavirus_229e	AFR79255.1.1.19_10160	J9UWL3	55.9	88.2	ColabFold	human_coronavirus_229e_CF-AFR79255.1.1.19_10160_relaxed.pdb	195	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	
